delta_t,delta_P,N_d,delta_n,Ratio,Variance (%),Total Cost [$],Offline Compute [s]
3200.0,35.0,21.0,4.0,8.16326530612245,2.505806451612904,6716.491896426954,2.6582116818211614
1728.0,105.0,17.0,1.0,13.445378151260504,2.0947829549980086,9458.08441893036,4.087765136367207
192.0,150.0,5.0,4.0,8.0,2.305854241338112,4304.285525809434,2.8775301454549083
288.0,140.0,3.0,2.0,28.571428571428573,1.3225806451612905,4152.005229626625,3.160994645452857
384.0,140.0,9.0,3.0,6.349206349206349,4.540322580645161,4006.635624645816,3.750923200002448
192.0,320.0,4.0,1.0,18.75,2.658064516129032,4972.1778423715,4.986015781817101
432.0,120.0,9.0,3.0,7.407407407407407,4.322580645161291,4158.217009143729,4.051987472727143
192.0,105.0,2.0,4.0,28.571428571428573,4.556272401433692,4345.080225449202,3.869689472727425
320.0,215.0,12.0,2.0,4.651162790697675,4.503225806451613,5389.866993422975,4.3331592454527375
96.0,330.0,8.0,4.0,2.272727272727273,3.655913978494624,4116.741539080946,3.303380718180878
120.0,175.0,3.0,4.0,11.428571428571429,3.483870967741935,4476.518638778954,3.6734239181810566
800.0,70.0,10.0,4.0,8.571428571428571,1.9870967741935488,4441.127320361244,3.571931390913299
135.0,340.0,7.0,2.0,5.042016806722689,3.4846356033452803,9013.692642913762,3.703413999995312
50.0,335.0,2.0,3.0,11.940298507462687,0.6967741935483871,4617.581956283749,3.706468554543045
24.0,610.0,3.0,4.0,3.278688524590164,3.71326164874552,7601.898123456334,4.399739799998563
16.0,930.0,3.0,4.0,2.150537634408602,4.550537634408602,4461.213750187686,3.362701599999458
80.0,390.0,6.0,3.0,3.418803418803418,1.2473118279569892,4176.328465505968,3.413039227272913
240.0,130.0,5.0,4.0,9.23076923076923,2.3178016726403823,4213.924580089992,3.239565236365624
900.0,120.0,17.0,2.0,5.882352941176471,0.1908912783751493,4050.316445280036,3.768792936365406
40.0,875.0,2.0,1.0,13.714285714285714,0.16,8040.896852873091,4.039160072726769
16.0,850.0,3.0,4.0,2.3529411764705883,3.2946236559139788,5622.823680777888,3.3446511636390244
400.0,155.0,14.0,3.0,3.686635944700461,2.547956989247312,4390.536798788594,2.9002984272705032
150.0,245.0,7.0,3.0,4.664723032069971,2.676415770609319,4957.590777306024,3.22272530909289
96.0,585.0,4.0,1.0,10.256410256410255,2.2623655913978493,4747.41574389049,4.132296636367259
432.0,135.0,16.0,4.0,2.7777777777777777,1.8547723350590728,4190.192876625759,4.897355863635312
960.0,95.0,21.0,3.0,4.010025062656641,1.3419354838709678,4334.903190148518,4.172473600004609
50.0,405.0,5.0,4.0,2.962962962962963,1.279426523297491,4563.605473810991,2.8197552454618164
384.0,110.0,3.0,2.0,36.36363636363637,3.149641577060932,4200.240759374735,3.3658923363612057
180.0,335.0,4.0,1.0,17.91044776119403,3.6788530465949822,8553.09801455267,3.207004427268244
432.0,125.0,13.0,4.0,3.692307692307693,1.367741935483871,4170.737618157972,2.654309545455776
160.0,165.0,3.0,3.0,16.161616161616163,2.98494623655914,4439.717403271629,3.274215645458422
540.0,140.0,10.0,2.0,8.571428571428571,3.391477499004381,4101.582107780452,3.334710863635833
20.0,875.0,3.0,3.0,3.0476190476190474,3.4494623655913976,5986.28683649163,3.013412081816403
25.0,495.0,2.0,4.0,6.0606060606060606,0.3747096774193548,5190.935464506315,4.050402200000297
2700.0,45.0,28.0,4.0,4.761904761904762,0.1447072879330943,7032.414351511969,2.653393781818026
540.0,190.0,7.0,1.0,18.045112781954888,2.964258595513076,4225.3636640380655,3.8462805999972094
90.0,375.0,4.0,2.0,8.0,0.1447072879330943,4203.908479309409,4.346956490908104
3456.0,35.0,8.0,2.0,42.85714285714285,1.4145758661887693,7116.552103534198,4.554635890906369
60.0,425.0,5.0,3.0,3.764705882352941,0.6929510155316607,5078.293516602485,3.3149670363636687
960.0,115.0,19.0,2.0,5.491990846681922,4.354408602150538,5284.433396636851,3.733637218183668
3600.0,45.0,32.0,3.0,5.555555555555555,2.838391079251294,7395.320467736057,3.7622124727257127
1350.0,125.0,13.0,1.0,14.76923076923077,1.2216200716845875,4368.555740741282,3.45959646363785
3456.0,40.0,4.0,1.0,150.0,1.698738882251427,9201.271812626132,4.818420536359719
2160.0,70.0,23.0,2.0,7.453416149068323,0.3932138590203106,5459.986526825219,4.911947190908408
960.0,145.0,12.0,1.0,13.79310344827586,2.7767741935483867,8355.217773350814,3.4021621636400763
2400.0,50.0,30.0,4.0,4.0,1.8735483870967744,6435.883083006691,2.2330103909096746
1200.0,120.0,11.0,1.0,18.181818181818183,1.550394265232975,6447.804559070437,2.7956094909102167
1152.0,85.0,20.0,3.0,4.705882352941177,4.719235364396655,4474.59123952358,2.3709507363620848
1440.0,60.0,2.0,1.0,200.0,0.8857984866587016,4421.924119522719,3.0235143545446177
1600.0,65.0,3.0,1.0,123.07692307692308,2.0711397849462365,4613.342143526862,2.948800063629857
3456.0,50.0,20.0,2.0,12.0,2.149608389751759,7226.298339657483,2.6138321818183283
